Year,Billion CYD
2013 Q1,6.79
2013 Q2,7.46
2013 Q3,11.6
2013 Q4,8.67
2014 Q1,10.8
2014 Q2,10.9
2014 Q3,18.7
2014 Q4,12.0
2015 Q1,15.8
2015 Q2,16.8
2015 Q3,26.2
2015 Q4,17.4
2016 Q1,20.2
2016 Q2,22.2
2016 Q3,34.5
2016 Q4,24.2
2017 Q1,32.2
2017 Q2,34.3
2017 Q3,53.2
2017 Q4,38.6
2018 Q1,50.2
2018 Q2,55.1
2018 Q3 ,83.0
2018 Q4,61.9
2019 Q1,80.9
2019 Q2,85.1
2019 Q3,117.0
2019 Q4,93.5
2020 Q1 ,115.0
2020 Q2,119.0
2020 Q3,161.0
2020 Q4 ,114.0
2021 Q1,154.0
2021 Q2,155.0
2021 Q3,221.0
2021 Q4 ,187.0
2022 Q1,206.0
2022 Q2,201.0
2022 Q3,243.0
2022 Q4,204.0
2023 Q1,206.0
2023 Q2,207.0
2023 Q3,248.0
2023 Q4,208.0
