Year,Billion USD
2013 Q1,16.1
2013 Q2,15.7
2013 Q3,17.1
2013 Q4,25.6
2014 Q1,19.7
2014 Q2,19.3
2014 Q3,20.6
2014 Q4,29.3
2015 Q1,22.7
2015 Q2,23.2
2015 Q3,25.4
2015 Q4,35.7
2016 Q1,29.1
2016 Q2,30.4
2016 Q3,32.7
2016 Q4,43.7
2017 Q1,35.7
2017 Q2,38
2017 Q3,43.7
2017 Q4,60.5
2018 Q1,51
2018 Q2,52.9
2018 Q3 ,56.6
2018 Q4,72.4
2019 Q1,59.7
2019 Q2,63.4
2019 Q3,70
2019 Q4,87.4
2020 Q1 ,75.5
2020 Q2,88.9
2020 Q3,96.1
2020 Q4 ,126
2021 Q1,109
2021 Q2,113
2021 Q3,111
2021 Q4 ,137
2022 Q1,116
2022 Q2,121
2022 Q3,127
2022 Q4,149
2023 Q1,127
2023 Q2,134
2023 Q3,143
2023 Q4,170
